yue	eng
事實 證明 喺 呢 八 百 七十 萬 個 物種 之中 生命 只需 要 三 件 事 三 張相 嘅 一邊 地球 上 所有 生命 都 需要 能量 好似 我哋 咁 嘅 複合 生物體 需要 從 太陽 取得 能量 但係 地下 深處 嘅 生物 可以 由 化學反應 取得 能量 能量 嘅 來源 喺 每個 星球 都 有好多 種 相片 另一邊 所有 生命 都 需要 食物 或者 營養 咁 聽 起嚟 係 過分 要求 尤其 當 你 想要 一 隻 多汁 嘅 番茄 時	It turns out of all of those 8 7 million species life only needs three things On one side all life on Earth needs energy Complex life like us derives our energy from the sun but life deep underground can get its energy from things like chemical reactions There are a number of different energy sources available on all planets On the other side all life needs food or nourishment And this seems like a tall order especially if you want a succulent tomato
他 搶去 了 我 的 石塊	He grabbed them out of my hand
或者 你 自己 張相	or even your own photos
然後 諗下 要點 樣 對 剩低 嘅 動物 好啲	and then we ll worry about being nice to the ones that are left
我哋 就 講 一個 細蚊仔	So let s put this into the context of a child
只需 用 ACE 繃帶 包紮 嚇	Wrap it in an ACE bandage
就係 怕 無 感情 嘅人 工 智能 以後 會 操控 人類 我 認 為 呢種 恐懼 唔成 立 講真 人類 呢 一刻 嘅 歷史 可以話 係 最 輝煌 嘅 我哋 冇 向 身體 同 大腦 限制 低頭 反而 製造 出 精良 複雜 又 美觀 嘅 機器 協助 人類 逹 至 超乎 想象 嘅 領域	I believe that such fears are unfounded Indeed we stand at a remarkable time in human history where driven by refusal to accept the limits of our bodies and our minds we are building machines of exquisite beautiful complexity and grace that will extend the human experience in ways beyond our imagining
我 嘅 意思 即係話	I mean
你 照顧 我 好啲 咪得 囉	You take care of me
我 帶 我 的 自我 做 心理治療	I take it to therapy
掌聲	Applause
你 可以 贏 翻 呢 滴 時間	You could regain this time
從 東歐 到 中亞	Then I have been walking East for 20 years
選擇 利於 生物 競爭 嘅 特性	and selecting traits for competitive advantage
呢個 亦 係 我 決定 講述 我 嘅 故事 嘅 原因	So that s why I decided to tell my story
所以 我 確實 認真 的 執行 這 計劃	so I definitely take my projects seriously
講實話 我哋 好 擔心 國內 啲 愛國主義 者	and frankly we were afraid of the super patriotism of that time in the country
這是 我 正在 閱讀 聖經	There s me reading the Bible
係 戰爭 10 年 後	on the roofs of Kabul
歡呼 聲	Cheers
蘇菲 派 係 一班 謙遜 嘅 穆斯林	humble Muslims
吉他 聲	Guitar
笑聲	Laughter
喂	Hello
個名 稱 係 面對面	We called the project Face 2 Face
用嚟 表達 傷心 或者 失望	in order to come across as sad or disappointed
我 嘅 答案 係	And my answer was to promise to myself
事實上 這 才 是故 事 的 開始	And that s actually where our story begins
係	But yes
跟住 我哋 坐 成 一 圈	Then we sat in a circle
有 大概 2 100 萬 粉絲	They re almost like a national TV station
呢個 瘋狂 嘅 口號	this crazy slogan
見到 從 住宅區 周邊 傳 返來 嘅 影像	watching disturbing frightening images
放 上網 我 會 講明 細節	upload it I ll give you all the details
一 納米 即係 十億 分之 一 米	The way you measure nanotechnology is in nanometers
點解 係 史 帝 夫 點解 我哋 要 一場 革命	Now why Steve why do we need a revolution
我 都 唔想 見到 你 隻 貓頭鷹	l don t want to see you feel helpless
因為 我 只須 要好 悠閒 咁 坐底 睇書 同 睇電影	because I just sat back and I read books and watched movies
當 呢 類 報導	So when these incidents are reported
佢 不斷 流失	It s being lost
傳 呢 各種 聲音	about the Middle East conflict
其實 而家 有冇人 想 控制 個 機械人	In fact who would like to drive a robot
呢啲 女性 返去 為 阿富汗 第一 條 村 提供 太陽能 電力 同 開辦 工作坊 阿富汗 第一個 靠 太陽能 發電 嘅 村落 就 靠 三位 女性 親手 建立 呢位 女性 係 一個 非比尋常 嘅 婆婆 55 歲 已經 為 阿富汗 二百 間房 屋 提供 太陽能 電力 而且 無 一間 冧 過 呢位 阿婆 去咗 阿富汗 政府 嘅 工程 部門 話畀 個 部門 知交 流 電 同 直流電 嘅 分別 而 嗰位 部長 唔知 個 分別 嗰 三位 女性 又 再 培訓 另外 27 位 女性 為 阿富汗 一百 條 村 實現 太陽能 發電	This woman went back and solar electrified the first village set up a workshop the first village ever to be solar electrified in Afghanistan was by the three women This woman is an extraordinary grandmother 55 years old and she s solar electrified 200 houses for me in Afghanistan And they haven t collapsed She actually went and spoke to an engineering department in Afghanistan and told the head of the department the difference between AC and DC He didn t know Those three women have trained 27 more women and solar electrified 100 villages in Afghanistan
我 開始 做 呢個 項目 時 就 淨係 諗住 設計 個 標誌 耍 啲 小聰明 起 個 新 名 我 想話 啲 意外 嘅 效果 我 想 認 係 我 嘅 功勞 係 我 深思熟慮 之後 嘅 結果 但係 我 唔可以 我 其實 就係 見步行步 殊不知 我哋 做嘅 嘢 會 一 件 事 連 一 件 事 咁 影響 好多 人 同事 喺 好耐 以後 間接 咁 畀 一個 圖書管理員 靈感 同 動力 呢啲 圖書館 每年 影響 四萬 個 細路 已經 影響 咗 十 年 啲 圖書管理員 已經 使 一代 嘅 細路 鍾意 上 讀書 令人 激動 嘅係 有時 意外 嘅 效果 係 最好 嘅 結果	So when I started this whole thing remember it was just about designing that logo and being clever come up with a new name The unintended consequence here which I would like to take credit for and like to think I can think through the experience to that extent but I can t I was just focused on a foot ahead of me as far as I could reach with my own hands Instead way off in the distance was a librarian who was going to find the chain of consequences that we had set in motion a source of inspiration so that she in this case could do her work really well 40 000 kids a year are affected by these libraries They ve been happening for more than 10 years now so those librarians have kind of turned on a generation of children to books and so it s been a thrill to find out that sometimes unintended consequences are the best consequences
讀 高中 嗰時 我 開始 上 樂理 課 我 覺得 佢 係 我 上 過 嘅 最好 嘅 課 就 同理 論 課 歷史 課 咁 我哋 學 一點 我 唔知 係咩 嘅嘢 上課 我哋 基本上 只係 聽歌 討論 歌曲 對 我哋 嘅 意義 再 分析 搵到 呢首歌 好聽 嘅 原因 每週 三 我哋 就 會 做 節奏 聽寫 而 我 就 做得 好好 我哋 老師 會 畀 我哋 幾 條 樂譜 線 一個 節拍 符號 之後 佢 就 會 講 一段 節奏 我哋 就要 用 合適 嘅 記號 記 低 就 好似 咁 ta ta tuck a tuck a ta ta tuck a tuck a tuck a tuck a 我 好鍾意 咁 節奏 嘅 簡單 基本 嘅 兩 到 四條 樂譜 線 幾乎 一切 都 喺度 講緊 故仔 就 好似 有好多 可能性 咁 你 再加上 一段 旋律 就得 喇	Then in high school I started music theory and it was the best class I ve ever taken We were learning about music things I didn t know like theory and history It was a class where we basically just listened to a song talked about what it meant to us and analyzed it and figured out what made it tick Every Wednesday we did something called rhythmic dictation and I was pretty good at it Our teacher would give us an amount of measures and a time signature and then he would speak a rhythm to us and we would have to write it down with the proper rests and notes Like this ta ta tuck a tuck a ta ta tuck a tuck a tuck a tuck a And I loved it The simplicity of the rhythm a basic two to four measure line and yet each of them almost told a story like they had so much potential and all you had to do was add a melody
非正式 嘅 貧民窟 被 視 為 係 問題 事實上 問題 嘅 因由 先至 係 真正 嘅 問題 譬如 根深蒂固 嘅 貧困 問題 社會 上 對 窮人 嘅 排斥 同埋 國家 功能 嘅 喪失 但 我哋 嘅 政府 將 貧民窟 當成 係 威脅 繼而 強行 搶佔 窮人 土地 或 強迫 窮人 遷移 但 為咗 合理化 成 件 事 政府 會 叫 我哋 默許 佢哋 嘅 所 作 所 為 反之 我哋 要 提醒 政府 唔應該 只 為 起 豪宅 同住 豪宅 嘅人 服務 政府 亦 應 為 負責 豪宅 清潔 同 保安 嘅人 服務 我哋 嘅	Informal settlements are incorrectly named as the problem In fact the real problems are the factors that create them like the entrenchment of poverty social exclusion and state failures When our governments frame slums as threats in order to justify violent land grabs or forced evictions they re counting on those of us who live in formal housing to tacitly and ignorantly agree with them Rather we must remind them that governments exist to serve not only those who build and live in luxury homes but also those who clean and guard them Our
就係 擁抱 自己	is embracing myself
音樂	Music
而且 持續 好幾 個月	It persists for months
我 就喺 度	And I was here
好似 2008 年 6 月	So for example in June 2008
佢哋 可以 創作 更多 工作	they re able to create more jobs
係 因為 光線	or the colors
大家 都 會 跟 你 說	People will say to you
布萊恩 覺得 我哋 需要 運行 做 愚蠢 嘅 實驗 我哋 需要 面對 尷尬 嘅 陌生人 我哋 要讀 核突 嘅字體 呢啲嘢 幫 我哋 解決問題 幫 我哋 更加 有 創意	And what Brian Eno came to realize was yes we need to run the stupid experiments we need to deal with the awkward strangers we need to try to read the ugly fonts These things help us They help us solve problems they help us be more creative
禁止 網絡 盜版 法案 保護 知識產權 法案 反 假冒 貿易協定 跨 太平洋 戰略 經濟 夥伴 關係 協議 知識產權 法 與 權利 Facebook 同 Google 話 自 已 係 老鼠 嘅 朋友 但係 有時 我哋 會見 到 兩 間 公司 同 貓 一齊 所以 我 嘅 結論 好 簡單 我哋 中國人 喺 中國 爭取 我哋 嘅 自由 你哋 就睇 實 你哋 嘅 衰 貓 唔好 畀 佢哋 同 中國 貓 有 合作 嘅 機會 只有 做到 呢一點 未來 我哋 先可以 實現 老鼠 嘅 夢想 可以 隨時隨地 發表 任何 意見 而 唔需要 怕 被 清算	SOPA PIPA ACTA TPP and ITU And also like Facebook and Google they claim they are friends of the mouse but sometimes we see them dating the cats So my conclusion is very simple We Chinese fight for our freedom you just watch your bad cats Don t let them hook up with the Chinese cats Only in this way in the future we will achieve the dreams of the mouse that we can tweet anytime anywhere without fear
個 箱 裏面 有乜	What s in the box
我 前 幾 晚 先嚟 講 個 電話	We talked on the phone a few nights ago
笑聲	Laughter
紙張 同 漿糊 嘅 力量	the power of paper and glue
我 已經 決定 咗	I ve decided
就喺 嗰陣 Stanley Kubrick 拍 嗰部 2001 太空 漫遊 上畫 我 嘅 生活 從此 改寫 我 係 部 片 嘅 忠實擁躉 特別 中意 哈 爾 9000 哈 爾 係 一部 機械人 專 為 太空船 導航 而 設計 指引 太空船 由 地球 飛 往 木星 但 哈 爾 都 有 缺點 佢 最後 為 實現 目的 而 罔顧 人類 安全 哈 爾 雖然 係 虛構 但 佢 反映 咗 我哋 嘅 恐懼	Around that same time Stanley Kubrick s 2001 A Space Odyssey came to the theaters and my life was forever changed I loved everything about that movie especially the HAL 9000 Now HAL was a sentient computer designed to guide the Discovery spacecraft from the Earth to Jupiter HAL was also a flawed character for in the end he chose to value the mission over human life Now HAL was a fictional character but nonetheless he speaks to our fears our fears of being subjugated by some unfeeling artificial intelligence who is indifferent to our humanity
